"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
27,"vorinostat homo sapiens gpl6884 gse46703 chdir down",89,4,0,2,0,0.0111818979711597,0.339346294950848
27,"cyclophosphamide mus musculus gpl13209 gse27423 chdir down",89,4,0,2,0,NA,NA
27,"cyclophosphamide mus musculus gpl13209 gds4005 chdir down",89,4,0,3,0,0.00955715389252909,0.317661591285015
27,"dexamethasone homo sapiens gpl570 gse37474 chdir down",89,4,0,2,0,NA,NA
27,"tamoxifen homo sapiens gpl3921 gse33366 chdir down",89,4,0,3,0,NA,NA
27,"valproic acid homo sapiens gpl570 gse14973 chdir down",89,4,0,11,1,7.99596133896675e-06,0.000797311573514113
27,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",89,4,0,4,0,NA,NA
27,"dexamethasone mus musculus gpl339 gse2342 chdir down",89,4,0,4,0,0.0183702563714322,0.493170728740757
27,"celecoxib homo sapiens gpl8300 gds3384 chdir down",89,4,0,1,1,NA,NA
27,"captopril mus musculus gpl1261 gds3683 chdir down",89,4,0,9,0,NA,NA
27,"vorinostat homo sapiens gpl571 gse18544 chdir down",89,4,0,1,0,NA,NA
27,"cyclophosphamide mus musculus gpl13209 gse27440 chdir down",89,4,0,1,0,NA,NA
27,"cyclophosphamide mus musculus gpl13209 gds4004 chdir down",89,4,0,1,0,NA,NA
27,"dexamethasone rattus norvegicus gpl1355 gse29912 chdir down",89,4,0,3,0,NA,NA
27,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",89,4,0,5,0,NA,NA
27,"estradiol homo sapiens gpl6947 gse27375 chdir down",89,4,0,3,0,NA,NA
27,"deferasirox homo sapiens gpl570 gds3558 chdir down",89,4,0,5,0,NA,NA
36,"prednisolone homo sapiens gpl570 gse32962 chdir down",46,3,0,10,2,1.75512121554497e-05,0.0122507460845039
36,"ethanol homo sapiens gpl96 gds2767 chdir down",46,3,0,4,1,0.00566346198926738,0.494137058563579
36,"doxorubicin mus musculus gpl8321 gse17115 chdir down",46,3,0,1,0,NA,NA
36,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",46,3,0,3,0,NA,NA
36,"celecoxib homo sapiens gpl8300 gse11237 chdir down",46,3,0,2,0,0.0163683995604119,0.81608163522625
36,"letrozole homo sapiens gpl3921 gse33366 chdir down",46,3,0,3,0,NA,NA
36,"dexamethasone homo sapiens gpl3921 gse28896 chdir down",46,3,0,1,0,NA,NA
36,"isotretinoin homo sapiens gpl8300 gds3215 chdir down",46,3,0,1,0,NA,NA
36,"enzalutamide homo sapiens gpl570 gse44905 chdir down",46,3,0,5,0,0.0153536745362159,0.824374217406055
36,"imatinib homo sapiens gpl201 gds838 chdir down",46,3,0,1,0,NA,NA
36,"vorinostat homo sapiens gpl6884 gse46703 chdir down",46,3,0,1,0,NA,NA
