"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"dexamethasone homo sapiens gpl570 gse33135 chdir up","7/257",0.000880072581160786,0.020476355388341,0,0,4.57770656900893,32.2064828349801,"CD93;THEMIS2;RGS1;C5AR1;FGL2;RNASE6;CFLAR"
"vorinostat homo sapiens gpl6884 gse46703 chdir down","3/36",0.00127070676277472,0.0286113974327986,0,0,14.0056022408964,93.3919051426038,"FCN1;CX3CR1;GNLY"
"cyclophosphamide mus musculus gpl13209 gse27423 chdir down","4/84",0.0015932838074555,0.0347535030501231,0,0,8.0032012805122,51.5562873534766,"SLC7A7;PLEK;LY96;SIGLEC1"
"titanium dioxide mus musculus gpl1261 non-pregnant gds2878 chdir down","6/211",0.00165802254947149,0.0350696890766999,0,0,4.77916284997411,30.5968200499734,"CD93;PECAM1;FMO1;RAPGEF5;SAMHD1;CTSS"
"vitamin e mus musculus gpl1261 gse42813 chdir up","11/666",0.00209250093762958,0.0429578133666307,0,0,2.7758851288263,17.1255326879682,"PYCARD;CD52;CD4;PTPRC;PRKCB;GMFG;SLA;GIMAP4;CYTIP;CORO1A;CD3D"
"cyclophosphamide homo sapiens gpl8300 gse7114 chdir up","11/680",0.00245816515163024,0.0490228364525117,0,0,2.71873455264459,16.3350817813319,"MPP1;FCGR2A;PRKCB;GMFG;WAS;CD37;CD48;LCP2;ERG;ARRB2;DOCK2"
"vitamin c mus musculus gpl6246 gse19377 chdir up","5/160",0.00270256550629495,0.0523997423164965,0,0,5.25210084033613,31.0585807226765,"GLIPR1;CCL8;MX2;FMO1;TLR2"
"cyclophosphamide mus musculus gpl13209 gds4005 chdir down","4/98",0.00279887512971926,0.0528004010957849,0,0,6.8598868118676,40.3261031171727,"SLC7A7;PLEK;LY96;SIGLEC1"
"folic acid homo sapiens gpl2700 gds3656 chdir up","10/605",0.00331174072641274,0.0608314480798973,0,0,2.7779706924092,15.8629941762938,"CD52;FCGR2A;LY86;PECAM1;SLA;LY96;TREM2;LSP1;ARRB2;TNFRSF1B"
"dexamethasone homo sapiens gpl8300 gse8546 chdir down","6/252",0.00400246413438829,0.0716338452770006,0,0,4.0016006402561,22.092217182617,"PRKCB;NCF4;RNASE6;WAS;TKT;CORO1A"
"doxorubicin homo sapiens gpl550 gds845 chdir up","3/59",0.00523960632930774,0.0914311304464201,0,0,8.54579119783507,44.8782986309598,"TREM2;TKT;PLXDC1"
