"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 MCF7 24H-AS-601245-1.11","4/22",0.000204639091275267,0.0413283618422446,0,0,13.3200133200133,113.143691784819,"OAS1;FAS;GBP1;IFI44L"
"LJP006 HT29 24H-PHA-793887-0.12","4/22",0.000204639091275267,0.0410778869219886,0,0,13.3200133200133,113.143691784819,"BST2;IFITM1;DNAJC12;LY6E"
"LJP006 MDAMB231 24H-A443654-0.37","7/89",0.000217037820834636,0.043304275083518,0,0,5.76202823393835,48.6052372806104,"STAT1;IFI6;ISG15;IFI35;IFIT1;GALNT10;MAPK13"
"LJP009 HCC515 24H-sunitinib-0.12","5/41",0.000229013880209332,0.0454201720144509,0,0,8.93415527561869,74.8836589295011,"PPP1R16B;SPRED2;NAMPT;FOXJ3;DNAJC12"
"LJP005 MCF7 24H-dasatinib-10","5/41",0.000229013880209332,0.0451498138476982,0,0,8.93415527561869,74.8836589295011,"LSM6;CDC42EP3;FAS;ME2;TUBA4A"
"LJP008 A375 24H-I-BET151-3.33","6/64",0.000236452010800811,0.0463403967439862,0,0,6.86813186813187,57.3472890438436,"BST2;IFITM2;APOBEC3G;CCL20;GBP2;PSMB8"
"LJP008 HA1E 24H-I-BET-1.11","6/64",0.000236452010800811,0.0460678061749039,0,0,6.86813186813187,57.3472890438436,"ISG20;CXCL10;SLAMF8;GBP2;GBP1;PSMB8"
"LJP006 SKBR3 24H-QL-XII-47-1.11","10/185",0.000237243130894862,0.0459516358968931,0,0,3.96000396000396,33.0518763445924,"BST2;CXCL10;CD52;CEACAM1;HSP90AB1;APOH;ALB;LYZ;APOL1;LIPA"
"CPC009 PC3 24H-BRD-K38625260-10.0","4/23",0.000245075568347486,0.0471927203444016,0,0,12.7408823060997,105.926981401413,"GJB5;RFX5;KIAA0753;ATXN7L1"
"LJP007 HA1E 24H-PHA-767491-10","7/91",0.000249130552052243,0.0476962601995512,0,0,5.63539025077487,46.7598393545728,"BIN1;FGG;CDC42EP3;SNRPB2;NMI;ACTB;TUBA4A"
"LJP008 HA1E 24H-belinostat-0.04","5/42",0.000257089056071401,0.0489370495755223,0,0,8.72143729286586,72.0921682488681,"CXCL11;STAT1;OAS2;IFI44L;HERC6"
"LJP005 MDAMB231 3H-tozasertib-10","5/42",0.000257089056071401,0.0486574092922336,0,0,8.72143729286586,72.0921682488681,"OAS2;IFI6;IFI44;ISG15;IFI44L"
"CPC014 HCC515 6H-s1095-10.0","6/65",0.00025755350170331,0.0484683496017917,0,0,6.76246830092984,55.8869523978856,"AHI1;IL15;BIN1;AKTIP;PHKB;BAHCC1"
"LJP006 A549 24H-KIN001-043-1.11","6/65",0.00025755350170331,0.0481945171181658,0,0,6.76246830092984,55.8869523978856,"TNFSF10;ISG15;IFIT1;USP18;IFI44L;IFIT3"
"LJP006 HT29 24H-GW-843682X-3.33","6/65",0.00025755350170331,0.0479237614040188,0,0,6.76246830092984,55.8869523978856,"ISG20;CD52;STAT1;NAMPT;IFI6;IFIT1"
"LJP008 HA1E 24H-belinostat-3.33","9/153",0.000259675758835169,0.0480487195998861,0,0,4.30941607412196,35.578870013381,"CXCL10;CXCL11;OAS1;OAS2;OAS3;NBN;CD58;CNDP2;HERC6"
