"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"75","LJP006 BT20 3H-A443654-0.04-up","1/29",0.00578775644643188,0.0378166400094538,0,0,237.714285714286,1224.70650792205,"TKTL1"
"76","LJP008 A549 24H-(+)-JQ1-0.12-up","1/30",0.00598688605352586,0.0378166400094538,0,0,229.505747126437,1174.65261061322,"TKTL1"
"77","LJP008 HCC515 24H-rocilinostat-1.11-up","1/30",0.00598688605352586,0.0378166400094538,0,0,229.505747126437,1174.65261061322,"TKTL1"
"78","LJP005 MCF10A 3H-PD-0325901-0.04-up","1/32",0.00638505560259709,0.0378166400094538,0,0,214.677419354839,1084.93568598441,"TKTL1"
"79","LJP008 HCC515 24H-iniparib-10-up","1/35",0.006982085791858,0.0378166400094538,0,0,195.705882352941,971.563766351202,"TKTL1"
"80","LJP006 MCF7 3H-PD-0325901-1.11-up","1/35",0.006982085791858,0.0378166400094538,0,0,195.705882352941,971.563766351202,"TKTL1"
"81","LJP008 HT29 24H-GSK-1070916-3.33-up","1/35",0.006982085791858,0.0378166400094538,0,0,195.705882352941,971.563766351202,"TKTL1"
"82","LJP006 MCF10A 3H-BMS-387032-0.37-up","1/38",0.00757884707428762,0.0378166400094538,0,0,179.810810810811,877.907258346024,"TKTL1"
"83","LJP006 SKBR3 3H-mitoxantrone-3.33-up","1/39",0.00777770775431615,0.0378166400094538,0,0,175.070175438596,850.22718960169,"TKTL1"
"84","LJP008 HEPG2 24H-PFI-1-3.33-up","1/41",0.00817533951037825,0.0378166400094538,0,0,166.3,799.343073344609,"OLIG2"
"85","LJP006 LNCAP 3H-torin-1-1.11-up","1/41",0.00817533951037825,0.0378166400094538,0,0,166.3,799.343073344609,"TKTL1"
"86","LJP007 HEPG2 24H-dinaciclib-0.04-up","1/43",0.00857285180785703,0.0378166400094538,0,0,158.365079365079,753.683933210775,"TKTL1"
"87","LJP006 HEPG2 24H-GDC-0941-1.11-up","1/44",0.00877156316519393,0.0378166400094538,0,0,154.674418604651,732.575206798786,"TKTL1"
"88","LJP005 HCC515 24H-PF-477736-0.12-up","1/49",0.00976467215022192,0.0378166400094538,0,0,138.527777777778,641.242906948784,"TKTL1"
"89","LJP005 MCF10A 3H-mitoxantrone-3.33-up","1/49",0.00976467215022192,0.0378166400094538,0,0,138.527777777778,641.242906948784,"TKTL1"
"90","LJP007 MCF7 24H-everolimus-1.11-up","1/49",0.00976467215022192,0.0378166400094538,0,0,138.527777777778,641.242906948784,"TKTL1"
"91","LJP008 HCC515 24H-LY2603618-10-up","1/51",0.010161706815005,0.0378166400094538,0,0,132.973333333333,610.231761256463,"TKTL1"
